geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI5018624,Мала чука,Mala čuka,"5002","2","90247",2017/02/01 01:00:00+01,299.167055416944,"MULTILINESTRING((526158.7954000002 4743772.5002,526457.7752 4743783.0835))"
SRBRGI5018625,Азеновића брдо,Azenovića brdo,"5002","2","90247",2017/02/01 01:00:00+01,426.976042937393,"MULTILINESTRING((527021.3388 4744285.7929,527021.3388 4744177.3135,527031.9221999999 4744060.896600001,527055.7346999999 4743949.771400001,527087.4847999997 4743867.750399999))"
SRBRGI5018626,Ћафа е жарит,Ćafa e žarit,"5002","2","90247",2017/02/01 01:00:00+01,361.899754673313,"MULTILINESTRING((527857.4238 4744306.9596,527950.0281999996 4744457.772399999,528053.2159000002 4744611.231000001))"
SRBRGI5016310,Богојевски камен,Bogojevski kamen,"5002","2","71129",2017/02/01 01:00:00+01,490.025509540065,"MULTILINESTRING((575255 4830558,575745 4830563))"
SRBRGI5016311,Клисура,Klisura,"5002","2","71129",2017/02/01 01:00:00+01,398.115208792248,"MULTILINESTRING((576721 4829924,576758 4829698,576764 4829529))"
SRBRGI5016312,Крстино било,Krstino bilo,"5003","2","70556",2017/02/01 01:00:00+01,341.013196225601,"MULTILINESTRING((601645 4847627,601916 4847834))"
SRBRGI5016313,Краварник,Kravarnik,"5003","2","70556",2017/02/01 01:00:00+01,501.461862956696,"MULTILINESTRING((601185 4849679,601443 4850109))"
SRBRGI5016315,Трешњево брдо,Trešnjevo brdo,"5003","2","70556",2017/02/01 01:00:00+01,448.380123903231,"MULTILINESTRING((602871 4853429,603094 4853468,603305 4853537))"
SRBRGI5016316,Виноградарско брдо,Vinogradarsko brdo,"5003","2","70556",2017/02/01 01:00:00+01,571.556646361496,"MULTILINESTRING((601150 4856883,601516 4857322))"
SRBRGI5016317,Краварник,Kravarnik,"5003","2","70556",2017/02/01 01:00:00+01,554.435597553757,"MULTILINESTRING((600174 4866384,600453 4866315,600720 4866311))"
SRBRGI5016318,Суви до,Suvi do,"5002","3","70556",2017/02/01 01:00:00+01,846.292980928102,"MULTILINESTRING((601276 4865694,601688 4865784,602073 4865963))"
SRBRGI5016319,Јама,Jama,"5004","2","70556",2017/02/01 01:00:00+01,290.293458279395,"MULTILINESTRING((605008 4867558,605146 4867606,605288 4867631))"
SRBRGI5016320,Павков баир,Pavkov bair,"5002","2","70602",2017/02/01 01:00:00+01,738.691754112322,"MULTILINESTRING((608499 4817995,608747 4817848,608989 4817832,609190 4817885))"
SRBRGI5016321,Бршљанов дол,Bršljanov dol,"5002","2","70602",2017/02/01 01:00:00+01,702.141140257187,"MULTILINESTRING((609016 4819146,609142 4818766,609222 4818475))"
SRBRGI5016322,Турска ђула,Turska đula,"5002","2","70904",2017/02/01 01:00:00+01,360.022221536393,"MULTILINESTRING((543079 4863058,543439 4863054))"
SRBRGI5016323,Крш,Krš,"5002","2","70491",2017/02/01 01:00:00+01,148.216058509191,"MULTILINESTRING((545854 4871919,546002 4871911))"
SRBRGI5016324,Страна,Strana,"5002","2","70904",2017/02/01 01:00:00+01,441.296003009834,"MULTILINESTRING((547168 4862543,547336 4862711,547492 4862842))"
SRBRGI5016325,Дебела глава,Debela glava,"5002","2","70904",2017/02/01 01:00:00+01,291.109944866197,"MULTILINESTRING((549289 4863477,549580 4863485))"
SRBRGI5016326,Дибока,Diboka,"5002","2","71005",2017/02/01 01:00:00+01,362.095291325364,"MULTILINESTRING((547452 4849158,547759 4848966))"
SRBRGI5016327,Ломчић,Lomčić,"5002","2","70319",2017/02/01 01:00:00+01,339.09438214161,"MULTILINESTRING((559160 4858598,559499 4858590))"
SRBRGI5016328,Црвени камен,Crveni kamen,"5003","2","70319",2017/02/01 01:00:00+01,351.172322371795,"MULTILINESTRING((567833 4850527,568184 4850516))"
SRBRGI5016329,Јазбина,Jazbina,"5002","2","70297",2017/02/01 01:00:00+01,226.035395458322,"MULTILINESTRING((546577 4762656,546803 4762652))"
SRBRGI5016330,Чукле,Čukle,"5002","2","70297",2017/02/01 01:00:00+01,154.012986465428,"MULTILINESTRING((545448 4759597,545602 4759595))"
SRBRGI5016331,Калуђеров трап,Kaluđerov trap,"5002","2","70084",2017/02/01 01:00:00+01,804.562198745576,"MULTILINESTRING((592098 4785205,592201 4785713,592296 4785983))"
SRBRGI5016332,Седларац,Sedlarac,"5003","2","70122",2017/02/01 01:00:00+01,286.357564647649,"MULTILINESTRING((479772 4944097,479878 4943970,479989 4943922))"
